experiment_folder,filename,plasmid,amount
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos17_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos18_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos19_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos2_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos20_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos3_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos4_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos5_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos6_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos7_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos8_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos9_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos0_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos1_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos10_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos11_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos2_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos3_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos4_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos5_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos6_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos7_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos8_MIP.tif,none,0 ng
08122024_pDIMMERs,08122024_pDIMMERs_utx_1_MMStack_Pos9_MIP.tif,none,0 ng
